Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value,ValueDistributionTypeID,ValueDistributionFrequency,ValueDistributionSD,ValueDistributionMin,ValueDistributionMax,ValueDistributionRelativeFrequency
,,Arizona/New Mexico Mountains,,,Fire,Fire,2014.0000,2014.0000,20800.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Fire,Fire,2015.0000,2015.0000,3400.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Fire,Fire,2016.0000,2016.0000,97600.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Fire,Fire,2017.0000,2017.0000,109500.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Fire,Fire,2018.0000,2018.0000,72100.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Fire,Fire,2019.0000,2019.0000,110800.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Fire,Fire,2020.0000,2020.0000,226300.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Forest Harvest: Forest Clearcut,Forest Harvest,2002.0000,2002.0000,5000.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Forest Harvest: Forest Clearcut,Forest Harvest,2003.0000,2003.0000,5400.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Forest Harvest: Forest Clearcut,Forest Harvest,2004.0000,2004.0000,9200.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Forest Harvest: Forest Clearcut,Forest Harvest,2005.0000,2005.0000,5600.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Forest Harvest: Forest Clearcut,Forest Harvest,2006.0000,2006.0000,6100.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Forest Harvest: Forest Clearcut,Forest Harvest,2007.0000,2007.0000,4400.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Forest Harvest: Forest Clearcut,Forest Harvest,2008.0000,2008.0000,49300.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Forest Harvest: Forest Clearcut,Forest Harvest,2009.0000,2009.0000,26700.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Forest Harvest: Forest Clearcut,Forest Harvest,2010.0000,2010.0000,23900.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Forest Harvest: Forest Clearcut,Forest Harvest,2011.0000,2011.0000,12900.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Forest Harvest: Forest Clearcut,Forest Harvest,2012.0000,2012.0000,18700.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Forest Harvest: Forest Clearcut,Forest Harvest,2013.0000,2013.0000,18400.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Forest Harvest: Forest Clearcut,Forest Harvest,2014.0000,2014.0000,12300.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Forest Harvest: Forest Clearcut,Forest Harvest,2015.0000,2015.0000,26700.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Forest Harvest: Forest Clearcut,Forest Harvest,2016.0000,2016.0000,18500.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Forest Harvest: Forest Selection,Forest Harvest,2002.0000,2002.0000,400.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Forest Harvest: Forest Selection,Forest Harvest,2003.0000,2003.0000,1500.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Forest Harvest: Forest Selection,Forest Harvest,2004.0000,2004.0000,1100.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Forest Harvest: Forest Selection,Forest Harvest,2005.0000,2005.0000,1300.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Forest Harvest: Forest Selection,Forest Harvest,2006.0000,2006.0000,1500.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Forest Harvest: Forest Selection,Forest Harvest,2007.0000,2007.0000,4600.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Forest Harvest: Forest Selection,Forest Harvest,2008.0000,2008.0000,7100.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Forest Harvest: Forest Selection,Forest Harvest,2009.0000,2009.0000,5500.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Forest Harvest: Forest Selection,Forest Harvest,2010.0000,2010.0000,7700.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Forest Harvest: Forest Selection,Forest Harvest,2011.0000,2011.0000,4300.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Forest Harvest: Forest Selection,Forest Harvest,2012.0000,2012.0000,3100.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Forest Harvest: Forest Selection,Forest Harvest,2013.0000,2013.0000,5000.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Forest Harvest: Forest Selection,Forest Harvest,2014.0000,2014.0000,5700.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Forest Harvest: Forest Selection,Forest Harvest,2015.0000,2015.0000,5900.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Forest Harvest: Forest Selection,Forest Harvest,2016.0000,2016.0000,7900.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Insect: High Severity,Insect,2002.0000,2002.0000,6700.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Insect: High Severity,Insect,2003.0000,2003.0000,210900.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Insect: High Severity,Insect,2004.0000,2004.0000,12900.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Insect: High Severity,Insect,2005.0000,2005.0000,1900.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Insect: High Severity,Insect,2006.0000,2006.0000,800.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Insect: High Severity,Insect,2007.0000,2007.0000,200.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Insect: High Severity,Insect,2008.0000,2008.0000,500.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Insect: High Severity,Insect,2009.0000,2009.0000,200.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Insect: High Severity,Insect,2010.0000,2010.0000,400.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Insect: High Severity,Insect,2011.0000,2011.0000,8600.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Insect: High Severity,Insect,2012.0000,2012.0000,200.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Insect: High Severity,Insect,2013.0000,2013.0000,200.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Insect: High Severity,Insect,2014.0000,2014.0000,400.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Insect: High Severity,Insect,2015.0000,2015.0000,0.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Insect: Low Severity,Insect,2002.0000,2002.0000,122100.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Insect: Low Severity,Insect,2003.0000,2003.0000,261400.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Insect: Low Severity,Insect,2004.0000,2004.0000,68800.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Insect: Low Severity,Insect,2005.0000,2005.0000,34800.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Insect: Low Severity,Insect,2006.0000,2006.0000,47400.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Insect: Low Severity,Insect,2007.0000,2007.0000,18200.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Insect: Low Severity,Insect,2008.0000,2008.0000,13500.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Insect: Low Severity,Insect,2009.0000,2009.0000,3700.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Insect: Low Severity,Insect,2010.0000,2010.0000,5700.0000,,,,,,
,,Arizona/New Mexico Mountains,,,Insect: Low Severity,Insect,2011.0000,2011.0000,16200.0000,,,,,,
