ScenarioID,Iteration,Timestep,TertiaryStratumID,StockGroupID,Amount
149,1,2001,Department of Energy,DOM: Aboveground Fast [Type],261335.18073558807
149,1,2001,Department of Energy,DOM: Aboveground Medium [Type],203303.38998138905
149,1,2001,Department of Energy,DOM: Aboveground Slow [Type],1317485.4099750519
149,1,2001,Department of Energy,DOM: Aboveground Very Fast [Type],79916.62029102445
149,1,2001,Department of Energy,DOM: Belowground Fast [Type],35964.04008641839
149,1,2001,Department of Energy,DOM: Belowground Slow [Type],6155079.443359375
149,1,2001,Department of Energy,DOM: Belowground Very Fast [Type],19915.02004666254
149,1,2001,Department of Energy,DOM: Black Carbon [Type],0
149,1,2001,Department of Energy,DOM: Snag Branch [Type],67354.78001949377
149,1,2001,Department of Energy,DOM: Snag Stem [Type],216141.9896526837
149,1,2001,Department of Energy,Forestry Sector [Type],0
149,1,2001,Department of Energy,Atmosphere [Type],0
149,1,2001,Department of Energy,Black Carbon [Type],0
149,1,2001,Department of Energy,Peat [Type],0
149,1,2001,Department of Energy,Biomass: Aboveground,4675220.8624054445
149,1,2001,Department of Energy,Biomass: Belowground,1049336.4002510905
149,1,2001,Department of Energy,Biomass: Total,5724557.262656535
149,1,2001,Department of Energy,DOM: Aboveground,283496.7696721775
149,1,2001,Department of Energy,DOM: Belowground,8072999.104475509
149,1,2001,Department of Energy,DOM: Total,8356495.874147687
149,1,2001,Department of Energy,Total Ecosystem,14081053.136804223
149,1,2001,Department of Energy,DOM: Deadwood,522764.19973998494
149,1,2001,Department of Energy,DOM: Litter,341251.8010266125
149,1,2001,Department of Energy,DOM: Soil,7492479.873381089
149,1,2001,Department of Energy,DOM: Standing Deadwood,283496.7696721775
149,1,2001,Department of Energy,DOM: Down Deadwood,239267.43006780744
149,1,2001,Joint,Atmosphere: CH4 [Type],0
149,1,2001,Joint,Atmosphere: CO2 [Type],0
149,1,2001,Joint,Atmosphere: CO [Type],0
149,1,2001,Joint,Biomass: Coarse Root [Type],9036950.470846146
149,1,2001,Joint,Biomass: Fine Root [Type],1848805.8596175164
149,1,2001,Joint,Biomass: Foliage [Type],2400029.7542614862
149,1,2001,Joint,Biomass: Merchantable [Type],27114414.92118687
149,1,2001,Joint,Biomass: Other Wood [Type],13822026.841188222
149,1,2001,Joint,DOM: Aboveground Fast [Type],4041667.289146781
149,1,2001,Joint,DOM: Aboveground Medium [Type],4242171.750611067
149,1,2001,Joint,DOM: Aboveground Slow [Type],23010128.60841751
149,1,2001,Joint,DOM: Aboveground Very Fast [Type],2482529.363577068
149,1,2001,Joint,DOM: Belowground Fast [Type],720067.6496431231
149,1,2001,Joint,DOM: Belowground Slow [Type],83435032.17506409
149,1,2001,Joint,DOM: Belowground Very Fast [Type],422781.6999484552
149,1,2001,Joint,DOM: Black Carbon [Type],0
149,1,2001,Joint,DOM: Snag Branch [Type],709380.9110152302
149,1,2001,Joint,DOM: Snag Stem [Type],2164917.580343981
149,1,2001,Joint,Forestry Sector [Type],0
149,1,2001,Joint,Atmosphere [Type],0
149,1,2001,Joint,Black Carbon [Type],0
149,1,2001,Joint,Peat [Type],0
149,1,2001,Joint,Biomass: Aboveground,43336471.51663658
149,1,2001,Joint,Biomass: Belowground,10885756.330463663
149,1,2001,Joint,Biomass: Total,54222227.84710024
149,1,2001,Joint,DOM: Aboveground,2874298.491359211
149,1,2001,Joint,DOM: Belowground,118354378.5364081
149,1,2001,Joint,DOM: Total,121228677.0277673
149,1,2001,Joint,Total Ecosystem,175450904.87486753
149,1,2001,Joint,DOM: Deadwood,7836537.8916134015
149,1,2001,Joint,DOM: Litter,6524196.652723849
149,1,2001,Joint,DOM: Soil,106867942.48343006
149,1,2001,Joint,DOM: Standing Deadwood,2874298.491359211
149,1,2001,Joint,DOM: Down Deadwood,4962239.40025419
149,1,2001,Local,Atmosphere: CH4 [Type],0
149,1,2001,Local,Atmosphere: CO2 [Type],0
149,1,2001,Local,Atmosphere: CO [Type],0
149,1,2001,Local,Biomass: Coarse Root [Type],19505628.277464956
149,1,2001,Local,Biomass: Fine Root [Type],3297749.135130644
149,1,2001,Local,Biomass: Foliage [Type],5412501.07736811
149,1,2001,Local,Biomass: Merchantable [Type],56334720.18682183
149,1,2001,Local,Biomass: Other Wood [Type],29282583.119492233
149,1,2001,Local,DOM: Aboveground Fast [Type],8808962.111228704
149,1,2001,Local,DOM: Aboveground Medium [Type],9959943.636706471
149,1,2001,Local,DOM: Aboveground Slow [Type],57290126.562309265
149,1,2001,Local,DOM: Aboveground Very Fast [Type],8878198.296372406
149,1,2001,Local,DOM: Belowground Fast [Type],1545145.4656656832
149,1,2001,Local,DOM: Belowground Slow [Type],176537890.59028625
149,1,2001,Local,DOM: Belowground Very Fast [Type],1231234.0794413583
149,1,2001,Local,DOM: Black Carbon [Type],0
149,1,2001,Local,DOM: Snag Branch [Type],1716935.4536331724
149,1,2001,Local,DOM: Snag Stem [Type],4783799.405125332
149,1,2001,Local,Forestry Sector [Type],0
149,1,2001,Local,Atmosphere [Type],0
149,1,2001,Local,Black Carbon [Type],0
149,1,2001,Local,Peat [Type],0
149,1,2001,Local,Biomass: Aboveground,91029804.38368218
149,1,2001,Local,Biomass: Belowground,22803377.4125956
149,1,2001,Local,Biomass: Total,113833181.79627778
149,1,2001,Local,DOM: Aboveground,6500734.8587585045
149,1,2001,Local,DOM: Belowground,264251500.74201015
149,1,2001,Local,DOM: Total,270752235.6007686
149,1,2001,Local,Total Ecosystem,384585417.39704645
149,1,2001,Local,DOM: Deadwood,18005823.96113066
149,1,2001,Local,DOM: Litter,17687160.40760111
149,1,2001,Local,DOM: Soil,235059251.2320369
149,1,2001,Local,DOM: Standing Deadwood,6500734.8587585045
149,1,2001,Local,DOM: Down Deadwood,11505089.102372155
149,1,2001,National Park Service,Atmosphere: CH4 [Type],0
149,1,2001,National Park Service,Atmosphere: CO2 [Type],0
149,1,2001,National Park Service,Atmosphere: CO [Type],0
149,1,2001,National Park Service,Biomass: Coarse Root [Type],50775012.693731256
149,1,2001,National Park Service,Biomass: Fine Root [Type],7169327.072963957
149,1,2001,National Park Service,Biomass: Foliage [Type],18719669.730632566
149,1,2001,National Park Service,Biomass: Merchantable [Type],160476030.48969218
149,1,2001,National Park Service,Biomass: Other Wood [Type],76529623.23997244
149,1,2001,National Park Service,DOM: Aboveground Fast [Type],27577999.724388123
149,1,2001,National Park Service,DOM: Aboveground Medium [Type],30271888.435009122
149,1,2001,National Park Service,DOM: Aboveground Slow [Type],109353863.83666992
149,1,2001,National Park Service,DOM: Aboveground Very Fast [Type],15166134.158672206
149,1,2001,National Park Service,DOM: Belowground Fast [Type],4893804.814864695
149,1,2001,National Park Service,DOM: Belowground Slow [Type],351907936.52801514
149,1,2001,National Park Service,DOM: Belowground Very Fast [Type],3255588.577366993
149,1,2001,National Park Service,DOM: Black Carbon [Type],0
149,1,2001,National Park Service,DOM: Snag Branch [Type],5008747.572071489
149,1,2001,National Park Service,DOM: Snag Stem [Type],21686326.475911174
149,1,2001,National Park Service,Forestry Sector [Type],0
149,1,2001,National Park Service,Atmosphere [Type],0
149,1,2001,National Park Service,Black Carbon [Type],0
149,1,2001,National Park Service,Peat [Type],0
149,1,2001,National Park Service,Biomass: Aboveground,255725323.4602972
149,1,2001,National Park Service,Biomass: Belowground,57944339.76669521
149,1,2001,National Park Service,Biomass: Total,313669663.2269924
149,1,2001,National Park Service,DOM: Aboveground,26695074.047982667
