ScenarioID,Iteration,Timestep,FlowGroupID,TransitionTypeID,Amount
160,1,2004,Net Biome Productivity,Fire: Low Severity,-1636634.2347438203
160,1,2004,Net Biome Productivity,Forest Harvest: Forest Clearcut,-35665379.86842602
160,1,2004,Net Biome Productivity,Forest Harvest: Forest Selection,-2493260.035215314
160,1,2004,Net Biome Productivity,Ag Expansion: Pasture,-1024859.445055308
160,1,2004,Net Biome Productivity,Ag Expansion: Cropland,-543667.4616853049
160,1,2005,LULC: Harvest [Type],Urbanization: Open,850385.9787272911
160,1,2005,LULC: Harvest [Type],Urbanization: Low,594082.9061278823
160,1,2005,LULC: Harvest [Type],Urbanization: Medium,318048.0165584757
160,1,2005,LULC: Harvest [Type],Urbanization: High,128887.64704739841
160,1,2005,LULC: Harvest [Type],Forest Harvest: Forest Clearcut,36234587.26388358
160,1,2005,LULC: Harvest [Type],Forest Harvest: Forest Selection,1994701.7516333284
160,1,2005,LULC: Harvest [Type],Ag Expansion: Pasture,461807.2818988136
160,1,2005,LULC: Harvest [Type],Ag Expansion: Cropland,335940.4615643851
160,1,2005,LULC: Emission [Type],Urbanization: Open,2347069.6490958654
160,1,2005,LULC: Emission [Type],Urbanization: Low,1664343.4045716124
160,1,2005,LULC: Emission [Type],Urbanization: Medium,983243.8475442093
160,1,2005,LULC: Emission [Type],Urbanization: High,351322.10584011854
160,1,2005,LULC: Emission [Type],Fire: High Severity,1392127.3298172168
160,1,2005,LULC: Emission [Type],Fire: Medium Severity,1084185.309031472
160,1,2005,LULC: Emission [Type],Fire: Low Severity,2033187.6759275694
160,1,2005,LULC: Emission [Type],Ag Expansion: Pasture,511577.73319798644
160,1,2005,LULC: Emission [Type],Ag Expansion: Cropland,399205.3443884237
160,1,2005,LULC: Transfer [Type],Forest Harvest: Forest Clearcut,4221380.541595126
160,1,2005,LULC: Mortality [Type],Fire: High Severity,1768427.8493413425
160,1,2005,LULC: Mortality [Type],Fire: Medium Severity,1291663.9287748036
160,1,2005,LULC: Mortality [Type],Fire: Low Severity,1644536.628743445
160,1,2005,LULC: Mortality [Type],Insect: High Severity,5622507.853642176
160,1,2005,LULC: Mortality [Type],Insect: Medium Severity,4994195.215218286
160,1,2005,LULC: Mortality [Type],Insect: Low Severity,7450527.2650517635
160,1,2005,LULC: Mortality [Type],Forest Harvest: Forest Clearcut,37607076.221007355
160,1,2005,LULC: Mortality [Type],Forest Harvest: Forest Selection,1993852.003695579
160,1,2005,LULC: Mortality [Type],Ag Expansion: Pasture,240198.95770412136
160,1,2005,LULC: Mortality [Type],Ag Expansion: Cropland,190513.62027340048
160,1,2005,Net Biome Productivity,Urbanization: Open,-3197455.627823157
160,1,2005,Net Biome Productivity,Urbanization: Low,-2258426.3106994946
160,1,2005,Net Biome Productivity,Urbanization: Medium,-1301291.8641026851
160,1,2005,Net Biome Productivity,Urbanization: High,-480209.7528875169
160,1,2005,Net Biome Productivity,Fire: High Severity,-1392127.3298172168
160,1,2005,Net Biome Productivity,Fire: Medium Severity,-1084185.309031472
160,1,2005,Net Biome Productivity,Fire: Low Severity,-2033187.6759275694
160,1,2005,Net Biome Productivity,Forest Harvest: Forest Clearcut,-36234587.26388358
160,1,2005,Net Biome Productivity,Forest Harvest: Forest Selection,-1994701.7516333284
160,1,2005,Net Biome Productivity,Ag Expansion: Pasture,-973385.0150968
160,1,2005,Net Biome Productivity,Ag Expansion: Cropland,-735145.8059528088
160,1,2006,LULC: Harvest [Type],Urbanization: Open,701119.6662434501
160,1,2006,LULC: Harvest [Type],Urbanization: Low,516026.64728899015
160,1,2006,LULC: Harvest [Type],Urbanization: Medium,300733.3764663873
160,1,2006,LULC: Harvest [Type],Urbanization: High,100514.01100057221
160,1,2006,LULC: Harvest [Type],Forest Harvest: Forest Clearcut,33137979.40259415
160,1,2006,LULC: Harvest [Type],Forest Harvest: Forest Selection,2144666.0572230285
160,1,2006,LULC: Harvest [Type],Ag Expansion: Pasture,380966.81837473623
160,1,2006,LULC: Harvest [Type],Ag Expansion: Cropland,331603.3234170939
160,1,2006,LULC: Emission [Type],Urbanization: Open,1886746.9977674114
160,1,2006,LULC: Emission [Type],Urbanization: Low,1349409.0482543549
160,1,2006,LULC: Emission [Type],Urbanization: Medium,801625.9912038218
160,1,2006,LULC: Emission [Type],Urbanization: High,270325.52451495815
160,1,2006,LULC: Emission [Type],Fire: High Severity,4021363.1855217256
160,1,2006,LULC: Emission [Type],Fire: Medium Severity,2554594.1679872167
160,1,2006,LULC: Emission [Type],Fire: Low Severity,4071922.554942993
160,1,2006,LULC: Emission [Type],Ag Expansion: Pasture,414988.2339905911
160,1,2006,LULC: Emission [Type],Ag Expansion: Cropland,394209.0354035645
160,1,2006,LULC: Transfer [Type],Forest Harvest: Forest Clearcut,4131241.8391025686
160,1,2006,LULC: Mortality [Type],Fire: High Severity,5922702.291522657
160,1,2006,LULC: Mortality [Type],Fire: Medium Severity,3613168.0715383785
160,1,2006,LULC: Mortality [Type],Fire: Low Severity,4337775.553114163
160,1,2006,LULC: Mortality [Type],Insect: High Severity,10035918.443598166
160,1,2006,LULC: Mortality [Type],Insect: Medium Severity,3825008.3776259124
160,1,2006,LULC: Mortality [Type],Insect: Low Severity,11042895.58930031
160,1,2006,LULC: Mortality [Type],Forest Harvest: Forest Clearcut,34276095.38724304
160,1,2006,LULC: Mortality [Type],Forest Harvest: Forest Selection,2141997.7201329013
160,1,2006,LULC: Mortality [Type],Ag Expansion: Pasture,191118.20840313443
160,1,2006,LULC: Mortality [Type],Ag Expansion: Cropland,184958.88593334792
160,1,2006,Net Biome Productivity,Urbanization: Open,-2587866.6640108614
160,1,2006,Net Biome Productivity,Urbanization: Low,-1865435.6955433448
160,1,2006,Net Biome Productivity,Urbanization: Medium,-1102359.3676702091
160,1,2006,Net Biome Productivity,Urbanization: High,-370839.5355155303
160,1,2006,Net Biome Productivity,Fire: High Severity,-4021363.1855217256
160,1,2006,Net Biome Productivity,Fire: Medium Severity,-2554594.1679872167
160,1,2006,Net Biome Productivity,Fire: Low Severity,-4071922.554942993
160,1,2006,Net Biome Productivity,Forest Harvest: Forest Clearcut,-33137979.40259415
160,1,2006,Net Biome Productivity,Forest Harvest: Forest Selection,-2144666.0572230285
160,1,2006,Net Biome Productivity,Ag Expansion: Pasture,-795955.0523653273
160,1,2006,Net Biome Productivity,Ag Expansion: Cropland,-725812.3588206584
160,1,2007,LULC: Harvest [Type],Urbanization: Open,549130.727647948
160,1,2007,LULC: Harvest [Type],Urbanization: Low,336056.4330138218
160,1,2007,LULC: Harvest [Type],Urbanization: Medium,236603.80365860744
160,1,2007,LULC: Harvest [Type],Urbanization: High,50183.472484518825
160,1,2007,LULC: Harvest [Type],Forest Harvest: Forest Clearcut,35692668.451776676
160,1,2007,LULC: Harvest [Type],Forest Harvest: Forest Selection,2203683.216162496
160,1,2007,LULC: Harvest [Type],Ag Expansion: Pasture,271188.87855649175
160,1,2007,LULC: Harvest [Type],Ag Expansion: Cropland,131164.19831752166
160,1,2007,LULC: Emission [Type],Urbanization: Open,1542216.0929339484
160,1,2007,LULC: Emission [Type],Urbanization: Low,1017678.6084864478
160,1,2007,LULC: Emission [Type],Urbanization: Medium,757042.414164416
160,1,2007,LULC: Emission [Type],Urbanization: High,143699.08107347752
160,1,2007,LULC: Emission [Type],Fire: High Severity,6383624.585262186
160,1,2007,LULC: Emission [Type],Fire: Medium Severity,4006325.057388941
160,1,2007,LULC: Emission [Type],Fire: Low Severity,6583887.511669535
160,1,2007,LULC: Emission [Type],Ag Expansion: Pasture,331876.68444347987
160,1,2007,LULC: Emission [Type],Ag Expansion: Cropland,203442.49247398102
160,1,2007,LULC: Transfer [Type],Forest Harvest: Forest Clearcut,4172703.7796787317
160,1,2007,LULC: Mortality [Type],Fire: High Severity,8442082.32413385
160,1,2007,LULC: Mortality [Type],Fire: Medium Severity,5180558.461197054
160,1,2007,LULC: Mortality [Type],Fire: Low Severity,6303585.348762955
160,1,2007,LULC: Mortality [Type],Insect: High Severity,3665669.3654186632
160,1,2007,LULC: Mortality [Type],Insect: Medium Severity,4920425.075564166
160,1,2007,LULC: Mortality [Type],Insect: Low Severity,6465509.8068122715
160,1,2007,LULC: Mortality [Type],Forest Harvest: Forest Clearcut,36079048.906127304
160,1,2007,LULC: Mortality [Type],Forest Harvest: Forest Selection,2208712.3673175257
160,1,2007,LULC: Mortality [Type],Ag Expansion: Pasture,154330.53339049726
160,1,2007,LULC: Mortality [Type],Ag Expansion: Cropland,89765.2444128502
160,1,2007,Net Biome Productivity,Urbanization: Open,-2091346.8205818965
160,1,2007,Net Biome Productivity,Urbanization: Low,-1353735.0415002697
160,1,2007,Net Biome Productivity,Urbanization: Medium,-993646.2178230234
160,1,2007,Net Biome Productivity,Urbanization: High,-193882.55355799635
160,1,2007,Net Biome Productivity,Fire: High Severity,-6383624.585262186
160,1,2007,Net Biome Productivity,Fire: Medium Severity,-4006325.057388941
160,1,2007,Net Biome Productivity,Fire: Low Severity,-6583887.511669535
160,1,2007,Net Biome Productivity,Forest Harvest: Forest Clearcut,-35692668.451776676
160,1,2007,Net Biome Productivity,Forest Harvest: Forest Selection,-2203683.216162496
160,1,2007,Net Biome Productivity,Ag Expansion: Pasture,-603065.5629999716
160,1,2007,Net Biome Productivity,Ag Expansion: Cropland,-334606.6907915027
160,1,2008,LULC: Harvest [Type],Urbanization: Open,587983.3610140722
160,1,2008,LULC: Harvest [Type],Urbanization: Low,445162.26215801464
160,1,2008,LULC: Harvest [Type],Urbanization: Medium,195615.48235982802
160,1,2008,LULC: Harvest [Type],Urbanization: High,59839.58332108863
