ScenarioID,Iteration,Timestep,SecondaryStratumID,StockGroupID,Amount
74,1,2001,Nebraska,Biomass: Merchantable [Type],1109675.2703838036
74,1,2001,Nebraska,Biomass: Other Wood [Type],1027164.9008765817
74,1,2001,Nebraska,DOM: Aboveground Fast [Type],575606.5987944603
74,1,2001,Nebraska,DOM: Aboveground Medium [Type],487220.07056474686
74,1,2001,Nebraska,DOM: Aboveground Slow [Type],2070520.0571537018
74,1,2001,Nebraska,DOM: Aboveground Very Fast [Type],184004.45069223642
74,1,2001,Nebraska,DOM: Belowground Fast [Type],108872.50942140818
74,1,2001,Nebraska,DOM: Belowground Slow [Type],7401379.569244385
74,1,2001,Nebraska,DOM: Belowground Very Fast [Type],53397.020011395216
74,1,2001,Nebraska,DOM: Black Carbon [Type],0
74,1,2001,Nebraska,DOM: Snag Branch [Type],58850.4302080255
74,1,2001,Nebraska,DOM: Snag Stem [Type],126355.19014150559
74,1,2001,Nebraska,Forestry Sector [Type],0
74,1,2001,Nebraska,Atmosphere [Type],0
74,1,2001,Nebraska,Black Carbon [Type],0
74,1,2001,Nebraska,Peat [Type],0
74,1,2001,Nebraska,Biomass: Aboveground,2405811.5420833216
74,1,2001,Nebraska,Biomass: Belowground,582373.8511875272
74,1,2001,Nebraska,Biomass: Total,2988185.393270849
74,1,2001,Nebraska,DOM: Aboveground,185205.6203495311
74,1,2001,Nebraska,DOM: Belowground,10881000.275882334
74,1,2001,Nebraska,DOM: Total,11066205.896231866
74,1,2001,Nebraska,Total Ecosystem,14054391.289502714
74,1,2001,Nebraska,DOM: Deadwood,781298.2003356861
74,1,2001,Nebraska,DOM: Litter,759611.0494866967
74,1,2001,Nebraska,DOM: Soil,9525296.646409482
74,1,2001,Nebraska,DOM: Standing Deadwood,185205.6203495311
74,1,2001,Nebraska,DOM: Down Deadwood,596092.579986155
74,1,2001,Washington,Atmosphere: CH4 [Type],0
74,1,2001,Washington,Atmosphere: CO2 [Type],0
74,1,2001,Washington,Atmosphere: CO [Type],0
74,1,2001,Washington,Biomass: Coarse Root [Type],176088571.44037747
74,1,2001,Washington,Biomass: Fine Root [Type],19809509.622464515
74,1,2001,Washington,Biomass: Foliage [Type],88111723.86943437
74,1,2001,Washington,Biomass: Merchantable [Type],507267554.0608861
74,1,2001,Washington,Biomass: Other Wood [Type],289246951.9828081
74,1,2001,Washington,DOM: Aboveground Fast [Type],105457315.30994177
74,1,2001,Washington,DOM: Aboveground Medium [Type],134130623.58187437
74,1,2001,Washington,DOM: Aboveground Slow [Type],474465590.17009735
74,1,2001,Washington,DOM: Aboveground Very Fast [Type],53866755.93622923
74,1,2001,Washington,DOM: Belowground Fast [Type],18404874.48411286
74,1,2001,Washington,DOM: Belowground Slow [Type],1420522513.0527496
74,1,2001,Washington,DOM: Belowground Very Fast [Type],9311937.605989724
74,1,2001,Washington,DOM: Black Carbon [Type],0
74,1,2001,Washington,DOM: Snag Branch [Type],17727707.50313869
74,1,2001,Washington,DOM: Snag Stem [Type],65187823.41649005
74,1,2001,Washington,Forestry Sector [Type],0
74,1,2001,Washington,Atmosphere [Type],0
74,1,2001,Washington,Black Carbon [Type],0
